name;planet_status;mass;radius;type;orbital_period;semi_major_axis;star_name;star_distance;star_teff;star_radius;temp_calculated;mag_v;mag_j;mag_k;scale_factor;tsm;esm;alternate_names;updated;observation_type;reference;molecules;albedo;phase_curve;comments
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B:Low resolution IR";"2020AJ....160..258K";"{"He":"No detection"}";0;"No";"Non-detection above the noise level using Keck/NIRSPEC with a resolving power of R =25000"
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B:Low resolution IR";"2020RNAAS...4..231P";"{"He":"Upper limit"}";0;"No";"Upper limit = 0.38 +/- 0.44%. Using archival data from VLT/X-Shooter with a spectral resolution of R=2600."
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B:Low resolution IR";"2019RNAAS...3...24C";"{"He":"Upper limit"}";0;"No";
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B: High resolution IR";2201.11120;"{"He":"Detection"}";0;"No";
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"JWST-MIRI";2305.06240;"{"Featureless":"Detection"}";0.51;"Yes";
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B: High resolution IR";2307.05580;"{"He":"Upper limit"}";;"No";"3sigma upper limit of <2.92% with SPIRou."
"GJ 1214 b";"Confirmed";0.02571;0.24463;"Warm";1.580404497;0.01411;"GJ 1214";13.0;3026.0;0.216;5.96000000000e+02;14.71;9.7500000;8.7820000;1.26;454.6074;50.9212;;"9/9/22";"G-B: High resolution IR";2209.03502;"{"He":"Upper limit"}";;"No";
"GJ 1252 b";"Confirmed";0.00415;0.1053;"Hot";0.5182349;0.00916;"GJ 1252";20.38;3458.0;0.391;997.0;12.0;8.6970000;7.9150000;0.19;28.0823;13.3663;;"8/22/22";"Spitzer";2208.09479;"{"Featureless spectra":"Detection"}";;"No";"No atmosphere detection.surface pressure <10 bar"
"GJ 3470 b";"Confirmed";0.03958;0.37380742940036;"Warm";3.336649;0.03557;"GJ 3470";30.7;3652.0;0.48;5.93500000000e+02;12.3;8.7940000;7.9890000;1.15;301.1648;26.7313;;"7/7/22";"G-B: High resolution IR";2004.12812;"{"He":"Detection"}";0;"No";
"GJ 3470 b";"Confirmed";0.03958;0.37380742940036;"Warm";3.336649;0.03557;"GJ 3470";30.7;3652.0;0.48;5.93500000000e+02;12.3;8.7940000;7.9890000;1.15;301.1648;26.7313;;"7/7/22";"G-B: High resolution IR";1910.02070;"{"He":"Detection"}";;"No";"With the Habitable-zone Planet Finder (HPF) spectrograph"
"GJ 3470 b";"Confirmed";0.03958;0.37380742940036;"Warm";3.336649;0.03557;"GJ 3470";30.7;3652.0;0.48;5.93500000000e+02;12.3;8.7940000;7.9890000;1.15;301.1648;26.7313;;"7/7/22";"G-B: High resolution IR";2307.05580;"{"He":"No detection"}";;"No";"3sigma upper limit of <0.63% with SPIRou, not fully consistent with previous detections."
"GJ 3470 b";"Confirmed";0.03958;0.37380742940036;"Warm";3.336649;0.03557;"GJ 3470";30.7;3652.0;0.48;5.93500000000e+02;12.3;8.7940000;7.9890000;1.15;301.1648;26.7313;;"7/7/22";"G-B: Low resolution visible";"2013A&A...559A..32N";"{"Rayleigh Scattering":"Detection"}";0;"No";
"GJ 436 b";"Confirmed";0.07;0.38;"Warm";2.64394;0.02887;"GJ 436";10.2;3684.0;0.464;712.17819874957;10.68;6.9000000;6.0730000;1.15;549.5453;119.4948;;"8/30/22";"G-B: High resolution IR";1812.03119;"{"He":"Upper limit"}";;"No";"He analysis in the appendix"
"GJ 436 b";"Confirmed";0.07;0.38;"Warm";2.64394;0.02887;"GJ 436";10.2;3684.0;0.464;712.17819874957;10.68;6.9000000;6.0730000;1.15;549.5453;119.4948;;"8/30/22";"G-B: High resolution visible";1612.05945;"{"H":"No detection"}";;"No";"Non detection of Halpha line"
"GJ 436 b";"Confirmed";0.07;0.38;"Warm";2.64394;0.02887;"GJ 436";10.2;3684.0;0.464;712.17819874957;10.68;6.9000000;6.0730000;1.15;549.5453;119.4948;;"8/30/22";"HST STIS";1403.6834;"{"H":"Detection"}";0;"No";"Lyman alpha detection"
"GJ 436 b";"Confirmed";0.07;0.38;"Warm";2.64394;0.02887;"GJ 436";10.2;3684.0;0.464;712.17819874957;10.68;6.9000000;6.0730000;1.15;549.5453;119.4948;;"8/30/22";"G-B: High resolution IR";"2020AJ....160..228K";"{"FeH":"Upper limit"}";0;"No";
"GJ 486 b";"Confirmed";0.00887;0.11643;"Warm";1.467119;0.01734;"GJ 486";8.0761;3340.0;0.328;700.0;11.4;7.1950000;6.3620000;0.19;35.3896;21.3042;;"3/5/21";"G-B: High resolution IR";2212.11816;"{"Featureless":"Detection"}";;"No";
"GJ 486 b";"Confirmed";0.00887;0.11643;"Warm";1.467119;0.01734;"GJ 486";8.0761;3340.0;0.328;700.0;11.4;7.1950000;6.3620000;0.19;35.3896;21.3042;;"3/5/21";"JWST-NIRSpec";2305.00868;"{"H2O":"Upper limit"}";;"No";"A water-Rich Atmosphere or Stellar Contamination ?"
"GJ 9827 b";"Confirmed";0.01532;0.13641;"Hot";1.2089765;0.01866;"GJ 9827";30.3;4255.0;0.651;1043.5;10.4;7.9840000;7.1930000;1.26;57.5017;9.5333;;"9/9/20";"G-B: High resolution IR";2101.06277;"{"He":"Upper limit","H":"Upper limit"}";;"No";"Non detections of Ly-a, Ha and He. No evidence for an extended H/He upper atmosphere with HST and CARMENES observations."
"GJ 9827 b";"Confirmed";0.01532;0.13641;"Hot";1.2089765;0.01866;"GJ 9827";30.3;4255.0;0.651;1043.5;10.4;7.9840000;7.1930000;1.26;57.5017;9.5333;;"9/9/20";"G-B: High resolution IR";2302.01479;"{"He":"Upper limit"}";;"No";
"GJ 9827 d";"Confirmed";0.01076;0.17441;"Warm";6.20183;0.0555;"GJ 9827";30.3;4255.0;0.651;604.9;10.4;7.9840000;7.1930000;1.26;99.196;3.9901;;"9/9/20";"G-B:Low resolution IR";"2020AJ....160..258K";"{"He":"No detection"}";0;"No";"Non detection above the noise level using Keck/NIRSPEC with a resolving power of R = 25000"
"GJ 9827 d";"Confirmed";0.01076;0.17441;"Warm";6.20183;0.0555;"GJ 9827";30.3;4255.0;0.651;604.9;10.4;7.9840000;7.1930000;1.26;99.196;3.9901;;"9/9/20";"G-B: High resolution IR";2302.01479;"{"He":"Upper limit"}";;"No";
"GJ 9827 d";"Confirmed";0.01076;0.17441;"Warm";6.20183;0.0555;"GJ 9827";30.3;4255.0;0.651;604.9;10.4;7.9840000;7.1930000;1.26;99.196;3.9901;;"9/9/20";"G-B: High resolution IR";2101.06277;"{"H":"No detection","He":"No detection"}";0;"No";"Non detections of Ly-a, Ha and He. No evidence for an extended H/He upper atmosphere with HST and CARMENES observations."
"GJ 9827 d";"Confirmed";0.01076;0.17441;"Warm";6.20183;0.0555;"GJ 9827";30.3;4255.0;0.651;604.9;10.4;7.9840000;7.1930000;1.26;99.196;3.9901;;"9/9/20";"HST WFC3";2309.10845;"{"H2O":"Detection"}";;"No";
"HAT-P-1 b";"Confirmed";0.525;1.319;"Hot Jupiter";4.46529976;0.05561;"HAT-P-1";139.0;5980.0;1.174;1322.0;10.4;9.1560000;8.8580000;1.15;314.3897;133.2222;;"7/27/22";"HST WFC3";1308.2106;"{"H2O":"Detection"}";0;"No";
"HAT-P-1 b";"Confirmed";0.525;1.319;"Hot Jupiter";4.46529976;0.05561;"HAT-P-1";139.0;5980.0;1.174;1322.0;10.4;9.1560000;8.8580000;1.15;314.3897;133.2222;;"7/27/22";"HST STIS";1310.0083;"{"Na":"Detection"}";0;"No";
"HAT-P-1 b";"Confirmed";0.525;1.319;"Hot Jupiter";4.46529976;0.05561;"HAT-P-1";139.0;5980.0;1.174;1322.0;10.4;9.1560000;8.8580000;1.15;314.3897;133.2222;;"7/27/22";"HST WFC3";"2018AJ....155..156T";"{"H2O":"Detection"}";0;"No";
"HAT-P-1 b";"Confirmed";0.525;1.319;"Hot Jupiter";4.46529976;0.05561;"HAT-P-1";139.0;5980.0;1.174;1322.0;10.4;9.1560000;8.8580000;1.15;314.3897;133.2222;;"7/27/22";"G-B: Low resolution visible";2207.12563;"{"K":"Detection","Na":"Detection"}";;"No";"Tentative evidence for H2O. Subsolar abundances for Na, K, and C, and subsolar-to-solar for O"
