Chung et al. 250K / DOI:,
Wavelength / nm,Cross section / cm^2
140,7.81
141,8.42
142,6.32
143,6.2
144,6.09
145,6.42
146,7.32
147,8.2
148,9.67
149,11.5
150,13.3
151,15.5
152,17.6
153,20.7
154,23.5
155,26.7
156,29.3
157,32.6
158,36.3
159,38.9
160,43.3
161,46.7
162,49.1
163,52
164,53.8
165,56.4
166,57.3
167,57.5
168,56.7
169,56
170,55.4
171,52.2
172,47.9
173,43.1
174,38.9
175,33.7
176,30.1
177,25.1
178,19.6
179,13.4
180,8.42
181,5.04
182,2.96
183,1.77
184,1.03
185,0.637
186,0.368
187,0.2
188,0.117
189,0.079
,
,
,
,
,
,
