300K PIGLE 4 bead 1000 geometries / EOM-CCSD,
# Energy (nm),Intensity / cmÂ² per molecule
277.8242431,6.32E-216
276.6721978,4.10E-211
275.5296672,2.31E-206
274.3965342,1.14E-201
273.2726831,4.88E-197
272.1580004,1.82E-192
271.0523744,5.92E-188
269.9556951,1.68E-183
268.8678544,4.14E-179
267.7887459,8.89E-175
266.7182648,1.66E-170
265.6563081,2.71E-166
264.6027743,3.85E-162
263.5575638,4.76E-158
262.5205781,5.12E-154
261.4917206,4.81E-150
260.4708961,3.93E-146
259.458011,2.80E-142
258.4529728,1.73E-138
257.4556909,9.35E-135
256.4660757,4.40E-131
255.4840392,1.80E-127
254.5094947,6.43E-124
253.5423567,2.00E-120
252.5825412,5.41E-117
251.6299652,1.27E-113
250.6845473,2.62E-110
249.7462069,4.68E-107
248.814865,7.29E-104
247.8904435,9.89E-101
246.9728656,1.17E-97
246.0620556,1.20E-94
245.1579388,1.08E-91
244.2604417,8.42E-89
243.369492,5.73E-86
242.4850182,3.39E-83
241.60695,1.75E-80
240.735218,7.87E-78
239.869754,3.08E-75
239.0104904,1.05E-72
238.1573611,3.12E-70
237.3103004,8.06E-68
236.4692439,1.82E-65
235.6341279,3.56E-63
234.8048898,6.09E-61
233.9814677,9.07E-59
233.1638006,1.18E-56
232.3518285,1.33E-54
231.5454919,1.31E-52
230.7447325,1.12E-50
229.9494926,8.35E-49
229.1597152,5.43E-47
228.3753445,3.07E-45
227.5963249,1.52E-43
226.8226019,6.51E-42
226.0541217,2.44E-40
225.2908311,7.93E-39
224.5326779,2.25E-37
223.7796102,5.57E-36
223.0315772,1.20E-34
222.2885284,2.25E-33
221.5504142,3.67E-32
220.8171857,5.22E-31
220.0887944,6.47E-30
219.3651927,6.99E-29
218.6463335,6.57E-28
217.9321703,5.38E-27
217.2226573,3.84E-26
216.5177491,2.38E-25
215.8174011,1.29E-24
215.1215692,6.07E-24
214.4302098,2.49E-23
213.74328,8.91E-23
213.0607373,2.78E-22
212.3825399,7.53E-22
211.7086463,1.78E-21
211.0390157,3.66E-21
210.3736078,6.56E-21
209.7123828,1.02E-20
209.0553014,1.39E-20
208.4023247,1.66E-20
207.7534145,1.72E-20
207.1085327,1.59E-20
206.4676421,1.36E-20
205.8307057,1.18E-20
205.197687,1.20E-20
204.5685499,1.47E-20
203.943259,1.95E-20
203.3217789,2.51E-20
202.7040751,3.06E-20
202.0901131,3.59E-20
201.4798591,4.21E-20
200.8732796,5.06E-20
200.2703415,6.15E-20
199.6710121,7.36E-20
199.0752591,8.44E-20
198.4830506,9.24E-20
197.8943551,9.81E-20
197.3091413,1.04E-19
196.7273785,1.14E-19
196.1490363,1.30E-19
195.5740845,1.53E-19
195.0024935,1.83E-19
194.4342338,2.14E-19
193.8692765,2.45E-19
193.3075928,2.75E-19
192.7491543,3.06E-19
192.1939331,3.44E-19
191.6419013,3.91E-19
191.0930316,4.46E-19
190.5472969,4.99E-19
190.0046705,5.41E-19
189.4651257,5.60E-19
188.9286365,5.59E-19
188.3951769,5.47E-19
187.8647214,5.41E-19
187.3372447,5.55E-19
186.8127218,5.98E-19
186.2911278,6.64E-19
185.7724384,7.46E-19
185.2566294,8.34E-19
184.7436767,9.25E-19
184.2335569,1.02E-18
183.7262463,1.11E-18
183.221722,1.18E-18
182.7199611,1.24E-18
182.2209408,1.28E-18
181.7246388,1.31E-18
181.2310329,1.34E-18
180.7401013,1.38E-18
180.2518222,1.45E-18
179.7661743,1.56E-18
179.2831362,1.71E-18
178.8026871,1.89E-18
178.3248061,2.09E-18
177.8494728,2.30E-18
177.3766668,2.51E-18
176.906368,2.71E-18
176.4385565,2.90E-18
175.9732126,3.08E-18
175.5103169,3.25E-18
175.0498501,3.42E-18
174.5917932,3.62E-18
174.1361272,3.84E-18
173.6828335,4.10E-18
173.2318935,4.39E-18
172.7832892,4.70E-18
172.3370022,5.01E-18
171.8930148,5.27E-18
171.4513091,5.47E-18
171.0118677,5.63E-18
170.5746732,5.76E-18
170.1397083,5.86E-18
169.7069562,5.95E-18
169.2763998,6.01E-18
168.8480226,6.06E-18
168.4218081,6.13E-18
167.99774,6.24E-18
167.5758019,6.42E-18
167.155978,6.64E-18
166.7382524,6.87E-18
166.3226095,7.07E-18
165.9090335,7.20E-18
165.4975093,7.25E-18
165.0880215,7.24E-18
164.6805551,7.19E-18
164.2750951,7.12E-18
163.8716268,7.04E-18
163.4701356,7.00E-18
163.0706068,7.00E-18
162.6730262,7.05E-18
162.2773796,7.11E-18
161.8836529,7.13E-18
161.4918321,7.07E-18
161.1019034,6.90E-18
160.7138532,6.63E-18
160.327668,6.26E-18
159.9433342,5.84E-18
159.5608386,5.38E-18
159.1801682,4.92E-18
158.8013097,4.48E-18
158.4242504,4.05E-18
158.0489775,3.64E-18
157.6754782,3.27E-18
157.30374,2.93E-18
156.9337506,2.63E-18
156.5654976,2.34E-18
156.1989687,2.08E-18
155.834152,1.84E-18
155.4710354,1.64E-18
155.1096072,1.48E-18
154.7498555,1.36E-18
154.3917687,1.27E-18
154.0353352,1.18E-18
153.6805438,1.09E-18
153.3273829,9.80E-19
152.9758415,8.57E-19
152.6259084,7.22E-19
152.2775726,5.85E-19
151.9308231,4.56E-19
151.5856493,3.46E-19
151.2420403,2.62E-19
150.8999855,2.06E-19
150.5594745,1.82E-19
150.2204967,1.89E-19
149.8830419,2.28E-19
149.5470998,2.93E-19
149.2126603,3.72E-19
148.8797133,4.51E-19
148.5482488,5.18E-19
148.218257,5.70E-19
147.889728,6.10E-19
147.5626523,6.47E-19
147.23702,6.94E-19
146.9128218,7.58E-19
146.5900481,8.46E-19
146.2686896,9.54E-19
145.948737,1.07E-18
145.6301811,1.18E-18
145.3130128,1.27E-18
144.997223,1.34E-18
144.6828027,1.40E-18
144.3697431,1.46E-18
144.0580354,1.53E-18
143.7476707,1.62E-18
143.4386405,1.72E-18
143.1309362,1.82E-18
142.8245493,1.90E-18
142.5194712,1.97E-18
142.2156936,2.02E-18
141.9132084,2.05E-18
141.6120071,2.11E-18
141.3120816,2.21E-18
141.013424,2.36E-18
140.716026,2.57E-18
140.4198799,2.79E-18
140.1249776,3.00E-18
139.8313115,3.18E-18
139.5388736,3.34E-18
139.2476564,3.49E-18
138.9576522,3.60E-18
138.6688535,3.69E-18
138.3812527,3.73E-18
138.0948424,3.75E-18
137.8096152,3.76E-18
137.5255638,3.81E-18
137.242681,3.91E-18
136.9609596,4.08E-18
136.6803923,4.30E-18
136.4009723,4.53E-18
136.1226923,4.71E-18
135.8455455,4.81E-18
135.569525,4.84E-18
135.2946238,4.84E-18
135.0208353,4.89E-18
134.7481526,5.03E-18
134.4765692,5.30E-18
134.2060782,5.68E-18
133.9366732,6.13E-18
133.6683477,6.57E-18
133.4010951,6.91E-18
133.1349091,7.10E-18
132.8697832,7.10E-18
132.6057112,6.96E-18
132.3426868,6.74E-18
132.0807037,6.51E-18
131.8197558,6.35E-18
131.5598369,6.31E-18
131.3009411,6.43E-18
131.0430622,6.67E-18
130.7861943,6.98E-18
130.5303314,7.25E-18
130.2754677,7.41E-18
130.0215973,7.42E-18
129.7687144,7.31E-18
129.5168133,7.16E-18
129.2658883,7.03E-18
129.0159336,6.98E-18
128.7669438,7.01E-18
128.5189131,7.14E-18
128.2718361,7.32E-18
128.0257074,7.52E-18
127.7805213,7.74E-18
127.5362726,7.96E-18
127.2929558,8.18E-18
127.0505657,8.42E-18
126.809097,8.66E-18
126.5685443,8.90E-18
126.3289026,9.07E-18
126.0901666,9.12E-18
125.8523313,9.00E-18
125.6153915,8.74E-18
125.3793421,8.40E-18
125.1441783,8.06E-18
124.9098949,7.80E-18
124.6764872,7.64E-18
124.44395,7.57E-18
124.2122787,7.56E-18
123.9814684,7.58E-18
123.7515143,7.58E-18
123.5224116,7.52E-18
123.2941556,7.36E-18
123.0667416,7.12E-18
122.8401651,6.80E-18
122.6144212,6.47E-18
122.3895056,6.19E-18
122.1654136,6.00E-18
121.9421407,5.89E-18
121.7196824,5.82E-18
121.4980343,5.73E-18
121.277192,5.58E-18
121.0571511,5.38E-18
120.8379071,5.17E-18
120.6194559,5.00E-18
120.4017931,4.87E-18
120.1849144,4.78E-18
119.9688157,4.69E-18
119.7534926,4.56E-18
119.5389412,4.39E-18
119.3251571,4.22E-18
119.1121363,4.10E-18
118.8998748,4.04E-18
118.6883684,4.05E-18
118.4776131,4.07E-18
118.2676051,4.04E-18
118.0583402,3.94E-18
117.8498145,3.76E-18
117.6420242,3.53E-18
117.4349653,3.28E-18
117.228634,3.05E-18
117.0230265,2.86E-18
116.818139,2.68E-18
116.6139677,2.55E-18
116.4105088,2.46E-18
116.2077586,2.46E-18
116.0057134,2.53E-18
115.8043696,2.67E-18
115.6037236,2.82E-18
115.4037716,2.95E-18
115.2045101,3.01E-18
115.0059355,3.00E-18
114.8080443,2.91E-18
114.6108329,2.75E-18
114.4142979,2.55E-18
114.2184358,2.33E-18
114.0232431,2.11E-18
113.8287165,1.93E-18
113.6348524,1.82E-18
113.4416475,1.78E-18
113.2490986,1.81E-18
113.0572021,1.88E-18
112.8659549,1.96E-18
112.6753536,2.03E-18
112.485395,2.09E-18
112.2960758,2.13E-18
112.1073928,2.12E-18
111.9193428,2.07E-18
111.7319227,1.95E-18
111.5451291,1.77E-18
111.3589591,1.57E-18
111.1734096,1.38E-18
110.9884773,1.23E-18
110.8041592,1.13E-18
110.6204523,1.09E-18
110.4373536,1.08E-18
110.25486,1.11E-18
110.0729685,1.13E-18
109.8916762,1.14E-18
109.7109801,1.12E-18
109.5308772,1.07E-18
109.3513647,1.02E-18
109.1724397,9.84E-19
108.9940992,9.69E-19
108.8163404,9.81E-19
108.6391605,1.01E-18
108.4625567,1.06E-18
108.2865261,1.10E-18
108.1110659,1.13E-18
107.9361735,1.14E-18
107.7618459,1.13E-18
107.5880806,1.09E-18
107.4148748,1.04E-18
107.2422258,9.83E-19
107.0701308,9.27E-19
106.8985873,8.74E-19
106.7275927,8.24E-19
106.5571441,7.79E-19
106.3872392,7.39E-19
106.2178752,7.06E-19
106.0490496,6.81E-19
105.8807598,6.62E-19
105.7130033,6.44E-19
105.5457775,6.17E-19
105.37908,5.75E-19
105.2129082,5.15E-19
105.0472596,4.41E-19
104.8821318,3.61E-19
104.7175224,2.85E-19
104.5534288,2.19E-19
104.3898487,1.66E-19
104.2267797,1.26E-19
104.0642193,9.52E-20
103.9021652,7.17E-20
103.7406151,5.34E-20
103.5795665,3.93E-20
103.4190172,2.88E-20
103.2589649,2.12E-20
103.0994071,1.60E-20
102.9403417,1.26E-20
102.7817664,1.06E-20
102.6236789,9.60E-21
102.4660769,9.16E-21
102.3089583,8.97E-21
102.1523208,8.72E-21
101.9961621,8.16E-21
101.8404802,7.19E-21
101.6852728,5.89E-21
101.5305378,4.44E-21
101.3762729,3.08E-21
101.2224762,1.97E-21
101.0691454,1.16E-21
100.9162784,6.37E-22
100.7638731,3.23E-22
100.6119274,1.51E-22
100.4604394,6.44E-23
100.3094068,2.48E-23
100.1588276,8.59E-24
100.0086999,2.64E-24
99.85902153,7.14E-25
99.70979053,1.70E-25
99.5610049,3.55E-26
99.41266264,6.48E-27
99.26476176,1.03E-27
99.11730032,1.44E-28
98.97027634,1.74E-29
98.82368788,1.84E-30
98.67753302,1.70E-31
98.53180983,1.36E-32
98.38651641,9.52E-34
98.24165084,5.80E-35
98.09721126,3.08E-36
97.95319577,1.42E-37
97.80960252,5.73E-39
97.66642965,2.01E-40
97.52367532,6.14E-42
97.38133769,1.63E-43
97.23941495,3.79E-45
97.09790528,7.65E-47
96.95680687,1.34E-48
96.81611796,2.06E-50
96.67583674,2.75E-52
96.53596145,3.19E-54
96.39649034,3.23E-56
96.25742164,2.85E-58
96.11875363,2.19E-60
95.98048458,1.47E-62
95.84261276,8.54E-65
95.70513647,4.33E-67
95.568054,1.92E-69
95.43136367,7.38E-72
95.29506379,2.47E-74
95.1591527,7.23E-77
95.02362874,1.84E-79
94.88849024,4.08E-82
94.75373558,7.87E-85
94.61936311,1.32E-87
94.48537122,1.94E-90
94.35175829,2.47E-93
94.21852271,2.75E-96
94.08566289,2.66E-99
93.95317724,2.24E-102
93.82106418,1.65E-105
93.68932214,1.05E-108
93.55794956,5.88E-112
93.4269449,2.85E-115
93.2963066,1.21E-118
93.16603313,4.44E-122
93.03612296,1.42E-125
92.90657459,3.98E-129
92.77738649,9.68E-133
92.64855717,2.05E-136
92.52008513,3.79E-140
92.39196889,6.09E-144
92.26420698,8.53E-148
92.13679793,1.04E-151
92.00974027,1.11E-155
91.88303256,1.02E-159
91.75667335,8.25E-164
91.6306612,5.79E-168
91.50499469,3.54E-172
91.3796724,1.89E-176
91.25469292,8.76E-181
91.13005484,3.54E-185
91.00575676,1.25E-189
90.88179729,3.82E-194
90.75817506,1.02E-198
90.63488868,2.38E-203
90.5119368,4.82E-208
90.38931804,8.50E-213
90.26703107,1.31E-217
