1000K PIGLE 4 bead 1000 geometries / EOM-CCSD,
# Energy (nm),Intensity / cmÂ² per molecule
137.7997348,3.32E-18
137.5152512,3.66E-18
137.2319397,4.00E-18
136.9497932,4.29E-18
136.6688046,4.52E-18
136.3889666,4.70E-18
136.1102722,4.86E-18
135.8327145,5.04E-18
135.5562864,5.24E-18
135.2809812,5.46E-18
135.0067919,5.67E-18
134.7337119,5.82E-18
134.4617344,5.87E-18
134.1908527,5.82E-18
133.9210602,5.67E-18
133.6523504,5.48E-18
133.3847167,5.31E-18
133.1181528,5.19E-18
132.8526521,5.15E-18
132.5882084,5.19E-18
132.3248154,5.26E-18
132.0624668,5.35E-18
131.8011564,5.45E-18
131.5408781,5.60E-18
131.2816257,5.84E-18
131.0233933,6.18E-18
130.7661747,6.57E-18
130.5099641,6.96E-18
130.2547555,7.29E-18
130.000543,7.56E-18
129.7473209,7.76E-18
129.4950834,7.89E-18
129.2438246,7.92E-18
128.9935391,7.82E-18
128.744221,7.59E-18
128.4958648,7.28E-18
128.248465,6.99E-18
128.002016,6.79E-18
127.7565124,6.71E-18
127.5119487,6.74E-18
127.2683196,6.88E-18
127.0256196,7.10E-18
126.7838435,7.39E-18
126.5429861,7.74E-18
126.3030421,8.09E-18
126.0640063,8.38E-18
125.8258735,8.53E-18
125.5886388,8.52E-18
125.3522969,8.36E-18
125.1168428,8.13E-18
124.8822717,7.86E-18
124.6485784,7.61E-18
124.4157582,7.38E-18
124.183806,7.18E-18
123.9527171,7.03E-18
123.7224867,6.94E-18
123.4931099,6.93E-18
123.2645821,6.99E-18
123.0368985,7.09E-18
122.8100545,7.21E-18
122.5840453,7.33E-18
122.3588666,7.42E-18
122.1345136,7.44E-18
121.9109818,7.38E-18
121.6882667,7.25E-18
121.4663639,7.07E-18
121.2452689,6.84E-18
121.0249774,6.56E-18
120.8054848,6.24E-18
120.586787,5.91E-18
120.3688796,5.61E-18
120.1517583,5.37E-18
119.9354189,5.21E-18
119.7198572,5.12E-18
119.5050689,5.07E-18
119.2910499,5.03E-18
119.0777962,4.99E-18
118.8653035,4.93E-18
118.6535679,4.83E-18
118.4425852,4.69E-18
118.2323516,4.50E-18
118.0228629,4.27E-18
117.8141153,4.03E-18
117.6061048,3.81E-18
117.3988275,3.63E-18
117.1922796,3.49E-18
116.9864572,3.38E-18
116.7813565,3.26E-18
116.5769737,3.13E-18
116.373305,2.98E-18
116.1703468,2.84E-18
115.9680952,2.71E-18
115.7665467,2.60E-18
115.5656975,2.49E-18
115.365544,2.38E-18
115.1660827,2.29E-18
114.9673099,2.23E-18
114.769222,2.21E-18
114.5718156,2.24E-18
114.3750871,2.30E-18
114.179033,2.35E-18
113.9836499,2.36E-18
113.7889344,2.33E-18
113.5948829,2.26E-18
113.4014922,2.15E-18
113.2087589,2.04E-18
113.0166795,1.92E-18
112.8252509,1.81E-18
112.6344697,1.69E-18
112.4443325,1.57E-18
112.2548362,1.46E-18
112.0659776,1.36E-18
111.8777533,1.31E-18
111.6901603,1.28E-18
111.5031953,1.29E-18
111.3168552,1.30E-18
111.1311369,1.31E-18
110.9460373,1.33E-18
110.7615532,1.34E-18
110.5776816,1.36E-18
110.3944195,1.38E-18
110.2117639,1.39E-18
110.0297116,1.39E-18
109.8482599,1.39E-18
109.6674056,1.39E-18
109.4871458,1.38E-18
109.3074777,1.36E-18
109.1283983,1.32E-18
108.9499047,1.26E-18
108.771994,1.19E-18
108.5946634,1.13E-18
108.4179101,1.09E-18
108.2417312,1.07E-18
108.066124,1.04E-18
107.8910857,1.00E-18
107.7166134,9.55E-19
107.5427046,8.95E-19
107.3693564,8.34E-19
107.1965661,7.78E-19
107.0243311,7.32E-19
106.8526486,6.98E-19
106.6815161,6.73E-19
106.5109309,6.52E-19
106.3408903,6.27E-19
106.1713918,5.92E-19
106.0024328,5.47E-19
105.8340107,4.98E-19
105.6661229,4.52E-19
105.4987669,4.13E-19
105.3319403,3.82E-19
105.1656404,3.54E-19
104.9998647,3.26E-19
104.8346109,2.94E-19
104.6698765,2.57E-19
104.5056589,2.18E-19
104.3419558,1.80E-19
104.1787648,1.44E-19
104.0160835,1.12E-19
103.8539094,8.55E-20
103.6922403,6.44E-20
103.5310737,4.82E-20
103.3704073,3.61E-20
103.2102388,2.72E-20
103.0505659,2.05E-20
102.8913863,1.54E-20
102.7326977,1.15E-20
102.5744978,8.62E-21
102.4167844,6.73E-21
102.2595552,5.86E-21
102.1028081,6.04E-21
101.9465407,7.21E-21
101.790751,9.05E-21
101.6354367,1.11E-20
101.4805956,1.26E-20
101.3262256,1.32E-20
101.1723245,1.25E-20
101.0188902,1.06E-20
100.8659206,8.11E-21
100.7134136,5.52E-21
100.5613671,3.34E-21
100.4097789,1.78E-21
100.2586471,8.39E-22
100.1079696,3.47E-22
99.95774424,1.26E-22
99.8079691,3.98E-23
99.65864214,1.10E-23
99.50976133,2.67E-24
99.3613247,5.64E-25
99.21333024,1.04E-25
99.06577598,1.67E-26
98.91865998,2.34E-27
98.77198027,2.85E-28
98.62573492,3.03E-29
98.479922,2.81E-30
98.3345396,2.27E-31
98.18958581,1.60E-32
98.04505874,9.79E-34
97.90095651,5.22E-35
97.75727725,2.43E-36
97.6140191,9.83E-38
97.4711802,3.47E-39
97.32875873,1.06E-40
97.18675286,2.85E-42
97.04516076,6.63E-44
96.90398064,1.34E-45
96.76321069,2.37E-47
96.62284914,3.65E-49
96.48289421,4.89E-51
96.34334413,5.70E-53
96.20419714,5.79E-55
96.06545152,5.12E-57
95.92710551,3.94E-59
95.7891574,2.64E-61
95.65160548,1.54E-63
95.51444803,7.84E-66
95.37768337,3.47E-68
95.24130981,1.34E-70
