qTIP4P/F single point,Atmospec gaussing broadening = 0.3eV
# Energy (nm),Intensity / cmÂ² per molecule
131.1942396,6.81E-18
131.0008092,7.21E-18
130.8079484,7.60E-18
130.6156546,8.00E-18
130.4239253,8.41E-18
130.232758,8.81E-18
130.0421504,9.22E-18
129.8520998,9.62E-18
129.662604,1.00E-17
129.4736604,1.04E-17
129.2852667,1.08E-17
129.0974204,1.12E-17
128.9101192,1.15E-17
128.7233608,1.19E-17
128.5371426,1.22E-17
128.3514625,1.25E-17
128.166318,1.28E-17
127.9817069,1.31E-17
127.7976269,1.34E-17
127.6140757,1.36E-17
127.4310509,1.38E-17
127.2485504,1.40E-17
127.0665719,1.41E-17
126.8851131,1.42E-17
126.7041719,1.43E-17
126.523746,1.44E-17
126.3438332,1.44E-17
126.1644313,1.44E-17
125.9855382,1.43E-17
125.8071517,1.43E-17
125.6292697,1.42E-17
125.4518899,1.40E-17
125.2750104,1.39E-17
125.0986289,1.37E-17
124.9227434,1.35E-17
124.7473518,1.32E-17
124.572452,1.30E-17
124.3980419,1.27E-17
124.2241195,1.24E-17
124.0506828,1.21E-17
123.8777297,1.17E-17
123.7052582,1.14E-17
123.5332663,1.10E-17
123.3617519,1.06E-17
123.1907132,1.02E-17
123.0201481,9.84E-18
122.8500547,9.44E-18
122.6804309,9.03E-18
122.511275,8.63E-18
122.3425848,8.22E-18
122.1743586,7.82E-18
122.0065944,7.42E-18
121.8392903,7.03E-18
121.6724444,6.64E-18
121.5060548,6.26E-18
121.3401197,5.89E-18
121.1746372,5.53E-18
121.0096054,5.18E-18
120.8450225,4.84E-18
120.6808868,4.51E-18
120.5171963,4.20E-18
120.3539492,3.90E-18
120.1911438,3.62E-18
120.0287783,3.34E-18
119.8668509,3.08E-18
119.7053597,2.84E-18
119.5443032,2.61E-18
119.3836794,2.39E-18
119.2234867,2.19E-18
119.0637233,2.00E-18
118.9043875,1.82E-18
118.7454776,1.66E-18
118.5869919,1.50E-18
118.4289287,1.36E-18
118.2712863,1.23E-18
118.114063,1.11E-18
117.9572571,1.00E-18
117.8008671,9.03E-19
117.6448912,8.12E-19
117.4893278,7.30E-19
117.3341752,6.55E-19
117.1794319,5.88E-19
117.0250962,5.28E-19
116.8711665,4.74E-19
116.7176413,4.27E-19
116.5645188,3.85E-19
116.4117976,3.48E-19
116.2594761,3.17E-19
116.1075526,2.90E-19
115.9560257,2.68E-19
115.8048938,2.49E-19
115.6541553,2.34E-19
115.5038088,2.23E-19
115.3538526,2.15E-19
115.2042853,2.11E-19
115.0551053,2.09E-19
114.9063112,2.10E-19
114.7579014,2.14E-19
114.6098745,2.20E-19
114.462229,2.29E-19
114.3149635,2.41E-19
114.1680763,2.54E-19
114.0215662,2.71E-19
113.8754316,2.89E-19
113.7296711,3.10E-19
113.5842833,3.33E-19
113.4392668,3.59E-19
113.29462,3.86E-19
113.1503417,4.16E-19
113.0064304,4.48E-19
112.8628846,4.83E-19
112.7197031,5.19E-19
112.5768844,5.58E-19
112.4344272,5.99E-19
112.29233,6.42E-19
112.1505916,6.87E-19
112.0092105,7.34E-19
111.8681855,7.83E-19
111.7275151,8.33E-19
111.587198,8.85E-19
111.447233,9.39E-19
111.3076186,9.94E-19
111.1683536,1.05E-18
111.0294366,1.11E-18
110.8908664,1.17E-18
110.7526416,1.22E-18
110.614761,1.28E-18
110.4772233,1.34E-18
110.3400272,1.40E-18
110.2031714,1.46E-18
110.0666547,1.52E-18
109.9304758,1.58E-18
109.7946334,1.63E-18
109.6591264,1.69E-18
109.5239534,1.74E-18
109.3891133,1.79E-18
109.2546048,1.84E-18
109.1204266,1.89E-18
108.9865776,1.93E-18
108.8530566,1.97E-18
108.7198624,2.00E-18
108.5869937,2.04E-18
108.4544494,2.07E-18
108.3222282,2.09E-18
108.1903291,2.11E-18
108.0587507,2.13E-18
107.9274921,2.14E-18
107.7965519,2.15E-18
107.665929,2.15E-18
107.5356224,2.15E-18
107.4056308,2.14E-18
107.275953,2.13E-18
107.1465881,2.12E-18
107.0175347,2.10E-18
106.8887919,2.08E-18
106.7603584,2.05E-18
106.6322332,2.02E-18
106.5044152,1.98E-18
106.3769033,1.94E-18
106.2496963,1.90E-18
106.1227931,1.85E-18
